strctid,blockid,parcelid,huestimate,x,y,landuse,guid,d_sf,insignific,moderate,heavy,complete
"41007000000020005S",410079511001025,0,1,-123.90045166,46.0104942322,422,"d1efcbda-33ed-4e2f-ada9-103289097787",1,.0075638,.2207222,.4952456,.2764685
"41007000000020009S",410079511003005,0,1,-123.932060242,45.9798355103,900,"1664a263-f670-4485-8fa2-fb8c77030b3a",1,.0088398,.1751018,.5328912,.2831672
"41007020802001001S",410079507002020,20802,1,-123.918624878,46.0175666809,142,"04819c03-9e77-4a0e-96b7-5f9ef5067351",1,.1669897,.4967749,.3012151,.0350203
"41007020853008001S",410079507002040,20853,1,-123.913642883,46.017326355,122,"26c7457d-e252-40a7-a5db-5091cb9a6fe8",1,.1690528,.4977035,.2988537,.0343899
"41007020853008002S",410079507002040,20853,1,-123.913642883,46.017326355,123,"d0bbb5b2-8465-47f0-9ea4-51d7493e4c99",1,.1690528,.4977035,.2988537,.0343899
"41007020853008003S",410079507002040,20853,1,-123.913642883,46.017326355,123,"ead3f1d8-c89a-4905-89c3-a9bb7d2e61ab",1,.1690528,.4977035,.2988537,.0343899
"41007020853008004S",410079507002040,20853,1,-123.913642883,46.017326355,112,"daa0e9c3-c565-4c8c-ba3c-85ebf61e6ece",1,.1690528,.4977035,.2988537,.0343899
"41007020853008005S",410079507002040,20853,1,-123.913642883,46.017326355,123,"c7800469-57ee-4683-8c04-2d6dfd7f05e0",1,.1690528,.4977035,.2988537,.0343899
"41007020853008006S",410079507002040,20853,1,-123.913642883,46.017326355,120,"9d3880ba-db8e-4cce-ad0b-7599d5e9c25f",1,.1690528,.4977035,.2988537,.0343899
"41007020853008007S",410079507002040,20853,1,-123.913642883,46.017326355,123,"463b4421-253b-457e-bb5c-3175c1f02c1d",1,.1690528,.4977035,.2988537,.0343899
"41007020853008008S",410079507002040,20853,1,-123.913642883,46.017326355,550,"ff321c63-684b-4752-b9d2-6febe12aeee8",1,.0010747,.0545125,.3978065,.5466063
"41007020864002001S",410079507001001,20864,1,-123.903427124,46.0174980164,192,"37532fb5-5107-478b-ab2c-158eb001c68b",1,.1728971,.4993441,.2945058,.0332529
