parid,parid_card,bldg_id,struct_typ,str_prob,year_built,no_stories,a_stories,b_stories,bsmt_type,sq_foot,gsq_foot,occ_type,occ_detail,major_occ,broad_occ,appr_bldg,repl_cst,str_cst,nstra_cst,nstrd_cst,dgn_lvl,cont_val,efacility,dwell_unit,str_typ2,occ_typ2,tract_id,guid,FID_NEW,origin,stat_class,rmv_improv,rmv_land,elev,period
,,,W1,,"1968","1",,,,,,,,,,"2895",,,,,Pre - Code,,,,W1,,,fba4c73f-9b1b-4942-b7fb-bc276a4e0a4e,"5783","1","193",0.000000000000000,0.000000000000000,-1.037119000000000,0.350000000000000
,,,W1,,"1992","1",,,,,,,,,,"31878",,,,,Low - Code,,,,W1,,,65d6e370-c05b-4b2f-bd17-d914d1d056c7,"5782","1","193",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1974","1",,,,,,,,,,"5743",,,,,Low - Code,,,,W1,,,dad76485-9694-409e-ac7f-c64c7bd5c32c,"5781","1","191",0.000000000000000,0.000000000000000,-1.037119000000000,0.350000000000000
,,,W1,,"1984","1",,,,,,,,,,"9598",,,,,Low - Code,,,,W1,,,6f57cfb6-d244-40d5-96f5-03aeddd5e30a,"5780","1","193",0.000000000000000,0.000000000000000,-1.037119000000000,0.350000000000000
,,,W1,,"1964","1",,,,,,,,,,"1899",,,,,Pre - Code,,,,W1,,,929f1040-6224-409d-b4e3-58946daf3b91,"5779","1","190",0.000000000000000,0.000000000000000,-1.729172000000000,0.350000000000000
,,,W1,,"2007","1",,,,,,,,,,"11578",,,,,High - Code,,,,W1,,,9020fc6c-4b0e-4e5b-b8be-fa58141b57b5,"5778","1","200",11578.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1941","1",,,,,,,,,,"1619696",,,,,Pre - Code,,,,W1,,,3dcc3d59-dddf-4bc7-88cf-eacfe0b76ef0,"5777","1","142",67088.000000000000000,1552608.000000000000000,-4.200025000000000,0.350000000000000
,,,RC,,"1990","1",,,,,,,,,,"8211",,,,,Low - Code,,,,RC,,,050589e0-041f-4ac6-83f8-420ac509cdde,"5776","1","451",8211.000000000000000,0.000000000000000,-3.092534000000000,0.400000000000000
,,,W1,,"1970","1",,,,,,,,,,"1297",,,,,Pre - Code,,,,W1,,,09c131b1-089b-4f1a-a14b-b705be8f5520,"5774","1","191",0.000000000000000,0.000000000000000,-1.102866000000000,0.350000000000000
,,,W1,,"1975","1",,,,,,,,,,"8662",,,,,Low - Code,,,,W1,,,44656106-10fc-423d-bc34-f37a947493e3,"5773","1","193",0.000000000000000,0.000000000000000,-1.037119000000000,0.350000000000000
,,,W1,,"1992","1",,,,,,,,,,"11820",,,,,Low - Code,,,,W1,,,0b4073d3-7d7e-439d-b9ef-1373291f37cc,"5772","1","200",11820.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"2006","1",,,,,,,,,,"21470",,,,,High - Code,,,,W1,,,bef20397-d546-475e-8dfd-b58a422019d8,"5771","1","192",0.000000000000000,0.000000000000000,-9.224644000000000,0.350000000000000
,,,W1,,"1988","1",,,,,,,,,,"18415",,,,,Low - Code,,,,W1,,,f5e2c264-da77-4971-99d8-0c3d7562b986,"5770","1","193",0.000000000000000,0.000000000000000,-0.026324000000000,0.350000000000000
,,,W1,,"1959","1",,,,,,,,,,"921153",,,,,Pre - Code,,,,W1,,,d8ffb229-86e0-4907-97a5-84eb9ac248e6,"5769","1","140",109813.000000000000000,811340.000000000000000,-4.112024000000000,0.350000000000000
,,,RC,,"1","1",,,,,,,,,,"25411",,,,,Pre - Code,,,,RC,,,0bf34a44-f8fe-41b4-a241-7c71ed06aa20,"5768","1","430",25411.000000000000000,0.000000000000000,-3.833400000000000,0.400000000000000
,,,W1,,"1998","1",,,,,,,,,,"46863",,,,,Moderate - Code,,,,W1,,,340d43a0-35ff-4738-b11b-849434a662a4,"5767","1","193",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1974","1",,,,,,,,,,"6090",,,,,Low - Code,,,,W1,,,defedc4a-ea47-45c6-87d5-4c374f6920e5,"5766","1","193",0.000000000000000,0.000000000000000,-1.037119000000000,0.350000000000000
,,,W1,,"1970","1",,,,,,,,,,"4838",,,,,Pre - Code,,,,W1,,,837b8691-a385-4519-a7bc-6eed26afc2a7,"5765","1","191",0.000000000000000,0.000000000000000,-1.102866000000000,0.350000000000000
