,parid,parid_card,bldg_id,struct_typ,str_prob,year_built,no_stories,a_stories,b_stories,bsmt_type,sq_foot,gsq_foot,occ_type,occ_detail,major_occ,broad_occ,appr_bldg,repl_cst,str_cst,nstra_cst,nstrd_cst,dgn_lvl,cont_val,efacility,dwell_unit,str_typ2,occ_typ2,tract_id,guid,FID_NEW,origin,stat_class,rmv_improv,rmv_land,elev,period,strctid,x,y,value_matc,geometry
0,,,,W1,,1968,1,,,,,,,,,,2895,,,,,Pre - Code,,,,W1,,,fba4c73f-9b1b-4942-b7fb-bc276a4e0a4e,5783,1,193,0.0,0.0,-1.037119,0.35,41007020933038031S,-123.908996582,46.0143356323,0,POINT (-123.9089960881224 46.01433439263687)
1,,,,W1,,1992,1,,,,,,,,,,31878,,,,,Low - Code,,,,W1,,,65d6e370-c05b-4b2f-bd17-d914d1d056c7,5782,1,193,0.0,0.0,-14.826966,0.35,41007022416079053S,-123.905845642,45.9979476929,0,POINT (-123.9058460072767 45.99794932851639)
2,,,,W1,,1974,1,,,,,,,,,,5743,,,,,Low - Code,,,,W1,,,dad76485-9694-409e-ac7f-c64c7bd5c32c,5781,1,191,0.0,0.0,-1.037119,0.35,41007020933038014S,-123.908996582,46.0143356323,0,POINT (-123.9089960881224 46.01433439263687)
3,,,,W1,,1984,1,,,,,,,,,,9598,,,,,Low - Code,,,,W1,,,6f57cfb6-d244-40d5-96f5-03aeddd5e30a,5780,1,193,0.0,0.0,-1.037119,0.35,41007020933038018S,-123.908996582,46.0143356323,0,POINT (-123.9089960881224 46.01433439263687)
4,,,,W1,,1964,1,,,,,,,,,,1899,,,,,Pre - Code,,,,W1,,,929f1040-6224-409d-b4e3-58946daf3b91,5779,1,190,0.0,0.0,-1.729172,0.35,41007022789002002S,-123.911827087,45.9974746704,0,POINT (-123.9118272042543 45.99747300215442)
5,,,,W1,,2007,1,,,,,,,,,,11578,,,,,High - Code,,,,W1,,,9020fc6c-4b0e-4e5b-b8be-fa58141b57b5,5778,1,200,11578.0,0.0,-14.826966,0.35,41007022416079033S,-123.905845642,45.9979476929,1,POINT (-123.9058460072767 45.99794932851639)
6,,,,W1,,1941,1,,,,,,,,,,1619696,,,,,Pre - Code,,,,W1,,,3dcc3d59-dddf-4bc7-88cf-eacfe0b76ef0,5777,1,142,67088.0,1552608.0,-4.200025,0.35,3dcc3d59-dddf-4bc7-88cf-eacfe0b76ef0,,,0,POINT (-123.9351273789137 45.97827153326499)
7,,,,RC,,1990,1,,,,,,,,,,8211,,,,,Low - Code,,,,RC,,,050589e0-041f-4ac6-83f8-420ac509cdde,5776,1,451,8211.0,0.0,-3.092534,0.4,050589e0-041f-4ac6-83f8-420ac509cdde,,,1,POINT (-123.9234190085644 45.98594815239527)
8,,,,W1,,1970,1,,,,,,,,,,1297,,,,,Pre - Code,,,,W1,,,09c131b1-089b-4f1a-a14b-b705be8f5520,5774,1,191,0.0,0.0,-1.102866,0.35,41007021185022005S,-123.91015625,46.0112533569,0,POINT (-123.9101583933814 46.01125494608314)
9,,,,W1,,1975,1,,,,,,,,,,8662,,,,,Low - Code,,,,W1,,,44656106-10fc-423d-bc34-f37a947493e3,5773,1,193,0.0,0.0,-1.037119,0.35,41007020933038016S,-123.908996582,46.0143356323,0,POINT (-123.9089960881224 46.01433439263687)
10,,,,W1,,1992,1,,,,,,,,,,11820,,,,,Low - Code,,,,W1,,,0b4073d3-7d7e-439d-b9ef-1373291f37cc,5772,1,200,11820.0,0.0,-14.826966,0.35,41007022416079073S,-123.905845642,45.9979476929,1,POINT (-123.9058460072767 45.99794932851639)
11,,,,W1,,2006,1,,,,,,,,,,21470,,,,,High - Code,,,,W1,,,bef20397-d546-475e-8dfd-b58a422019d8,5771,1,192,0.0,0.0,-9.224644,0.35,41007021520010001S,-123.903778076,46.0038871765,0,POINT (-123.9037790529705 46.00388586582692)
12,,,,W1,,1988,1,,,,,,,,,,18415,,,,,Low - Code,,,,W1,,,f5e2c264-da77-4971-99d8-0c3d7562b986,5770,1,193,0.0,0.0,-0.026324,0.35,41007022712044029S,-123.91558075,45.9961471558,0,POINT (-123.9155842594153 45.99614784057414)
13,,,,W1,,1959,1,,,,,,,,,,921153,,,,,Pre - Code,,,,W1,,,d8ffb229-86e0-4907-97a5-84eb9ac248e6,5769,1,140,109813.0,811340.0,-4.112024,0.35,d8ffb229-86e0-4907-97a5-84eb9ac248e6,,,0,POINT (-123.9350554481229 45.97852080474943)
14,,,,RC,,1,1,,,,,,,,,,25411,,,,,Pre - Code,,,,RC,,,0bf34a44-f8fe-41b4-a241-7c71ed06aa20,5768,1,430,25411.0,0.0,-3.8334,0.4,41007022465001001S,-123.918518066,45.9992294312,1,POINT (-123.9185207958361 45.99922809397634)
15,,,,W1,,1998,1,,,,,,,,,,46863,,,,,Moderate - Code,,,,W1,,,340d43a0-35ff-4738-b11b-849434a662a4,5767,1,193,0.0,0.0,-14.826966,0.35,41007022416079070S,-123.905845642,45.9979476929,0,POINT (-123.9058460072767 45.99794932851639)
16,,,,W1,,1974,1,,,,,,,,,,6090,,,,,Low - Code,,,,W1,,,defedc4a-ea47-45c6-87d5-4c374f6920e5,5766,1,193,0.0,0.0,-1.037119,0.35,41007020933038020S,-123.908996582,46.0143356323,0,POINT (-123.9089960881224 46.01433439263687)
17,,,,W1,,1970,1,,,,,,,,,,4838,,,,,Pre - Code,,,,W1,,,837b8691-a385-4519-a7bc-6eed26afc2a7,5765,1,191,0.0,0.0,-1.102866,0.35,41007021185022021S,-123.91015625,46.0112533569,0,POINT (-123.9101583933814 46.01125494608314)
18,,,,W1,,1968,1,,,,,,,,,,4454,,,,,Pre - Code,,,,W1,,,3ae2a39b-f04a-4654-8d64-672205c5007d,5764,1,191,0.0,0.0,-1.102866,0.35,41007021185022010S,-123.91015625,46.0112533569,0,POINT (-123.9101583933814 46.01125494608314)
19,,,,W1,,1981,1,,,,,,,,,,6828,,,,,Low - Code,,,,W1,,,ed2894f9-e44b-4ff0-acfb-b05b1367702c,5763,1,191,0.0,0.0,-1.102866,0.35,41007021185022006S,-123.91015625,46.0112533569,0,POINT (-123.9101583933814 46.01125494608314)
20,,,,W1,,1975,1,,,,,,,,,,2314,,,,,Low - Code,,,,W1,,,b2873126-ea18-4a3b-99d8-ad908f80ef8d,5762,1,191,0.0,0.0,-1.102866,0.35,41007021185022014S,-123.91015625,46.0112533569,0,POINT (-123.9101583933814 46.01125494608314)
21,,,,W1,,1990,1,,,,,,,,,,16951,,,,,Low - Code,,,,W1,,,afa1ef2f-7bbe-41ae-95b4-3c5873a58f99,5761,1,191,0.0,0.0,-0.026324,0.35,41007022712044006S,-123.91558075,45.9961471558,0,POINT (-123.9155842594153 45.99614784057414)
22,,,,W1,,1971,1,,,,,,,,,,3737,,,,,Pre - Code,,,,W1,,,113a852a-6876-4931-81f0-5158f0c70d14,5760,1,193,0.0,0.0,-1.037119,0.35,41007020933038026S,-123.908996582,46.0143356323,0,POINT (-123.9089960881224 46.01433439263687)
23,,,,W1,,1968,1,,,,,,,,,,2517,,,,,Pre - Code,,,,W1,,,9d304a7c-e3f2-491d-ab32-0a8ec91a8e30,5759,1,193,0.0,0.0,0.232739,0.35,41007021215008002S,-123.912239075,46.0109291077,0,POINT (-123.9122373395464 46.01093032477119)
24,,,,W1,,1972,1,,,,,,,,,,15444,,,,,Pre - Code,,,,W1,,,4ac0a784-57a8-4437-a8ec-c0fefb85012e,5758,1,191,0.0,0.0,-1.037119,0.35,41007020933038030S,-123.908996582,46.0143356323,0,POINT (-123.9089960881224 46.01433439263687)
25,,,,RC,,1945,1,,,,,,,,,,716337,,,,,Pre - Code,,,,RC,,,25bc3a48-29df-4335-ac04-3e186976490c,5757,1,494,716337.0,0.0,-1.485903,0.4,25bc3a48-29df-4335-ac04-3e186976490c,,,1,POINT (-123.9315626703576 45.97499229522592)
26,,,,W1,,1995,1,,,,,,,,,,43186,,,,,Moderate - Code,,,,W1,,,3982d6c7-d2a6-48cf-ac99-de1dd8b42864,5756,1,193,0.0,0.0,-14.826966,0.35,41007022416079038S,-123.905845642,45.9979476929,0,POINT (-123.9058460072767 45.99794932851639)
27,,,,W1,,1977,1,,,,,,,,,,9113,,,,,Low - Code,,,,W1,,,da7413ba-bc45-46a7-9516-9bc314d5604b,5755,1,193,0.0,0.0,-1.037119,0.35,41007020933038009S,-123.908996582,46.0143356323,0,POINT (-123.9089960881224 46.01433439263687)
28,,,,W1,,1995,1,,,,,,,,,,40881,,,,,Moderate - Code,,,,W1,,,a436c038-22b1-4339-920b-cf430b4cf2e4,5754,1,193,0.0,0.0,-14.826966,0.35,41007022416079006S,-123.905845642,45.9979476929,0,POINT (-123.9058460072767 45.99794932851639)
29,,,,W1,,1993,1,,,,,,,,,,36728,,,,,Moderate - Code,,,,W1,,,22aa85a2-af0c-436c-9f60-e4ff7254ec6f,5753,1,193,0.0,0.0,-14.826966,0.35,41007022416079077S,-123.905845642,45.9979476929,0,POINT (-123.9058460072767 45.99794932851639)
30,,,,W1,,1993,1,,,,,,,,,,15867,,,,,Moderate - Code,,,,W1,,,919c4386-34ce-431d-ad36-ebad80c126d2,5752,1,191,0.0,0.0,-0.026324,0.35,41007022712044008S,-123.91558075,45.9961471558,0,POINT (-123.9155842594153 45.99614784057414)
31,,,,W1,,1995,1,,,,,,,,,,78608,,,,,Moderate - Code,,,,W1,,,c9bb8034-b154-4950-8361-252628a6dcc9,5750,1,193,0.0,0.0,-14.826966,0.35,41007022416079009S,-123.905845642,45.9979476929,0,POINT (-123.9058460072767 45.99794932851639)
32,,,,W1,,1992,1,,,,,,,,,,40037,,,,,Low - Code,,,,W1,,,1d96de99-2ee5-4756-bdba-322a6f705154,5749,1,193,0.0,0.0,-14.826966,0.35,41007022416079054S,-123.905845642,45.9979476929,0,POINT (-123.9058460072767 45.99794932851639)
33,,,,W1,,1992,1,,,,,,,,,,19485,,,,,Low - Code,,,,W1,,,7c6bc4b6-d2ae-4eee-966c-da7692f14c22,5748,1,191,0.0,0.0,-0.026324,0.35,41007022712044022S,-123.91558075,45.9961471558,0,POINT (-123.9155842594153 45.99614784057414)
34,,,,W1,,1992,1,,,,,,,,,,57904,,,,,Low - Code,,,,W1,,,6a6c5517-5860-44f7-8b7b-c62c1fe7c2a3,5747,1,193,0.0,0.0,-14.826966,0.35,41007022416079048S,-123.905845642,45.9979476929,0,POINT (-123.9058460072767 45.99794932851639)
35,,,,W1,,1975,1,,,,,,,,,,85401,,,,,Low - Code,,,,W1,,,a0821314-04d0-4c93-aee7-de7b199cfafa,5746,1,192,1339.0,84062.0,-0.032043,0.35,41007021754002002S,-123.909255981,46.0034828186,0,POINT (-123.9092526123938 46.00348280918307)
36,,,,W1,,1986,1,,,,,,,,,,364037,,,,,Low - Code,,,,W1,,,f1d4feff-8c78-4f78-b2a3-1092748090d1,5745,1,140,248070.0,115967.0,-2.126365,0.35,41007020879001001S,-123.905250549,46.0172767639,0,POINT (-123.9052482900451 46.01727589780503)
37,,,,RC,,0,1,,,,,,,,,,654290,,,,,Pre - Code,,,,RC,,,ff321c63-684b-4752-b9d2-6febe12aeee8,5743,1,550,358766.0,295524.0,-2.180728,0.4,41007020853008008S,-123.913642883,46.017326355,0,POINT (-123.9136398168196 46.01732823024322)
38,,,,RC,,0,1,,,,,,,,,,56678,,,,,Pre - Code,,,,RC,,,c75351fa-df5b-49f9-b7a6-b12ab3d65ed8,5742,1,499,0.0,56678.0,-1.674715,0.4,41007025690002002S,-123.917274475,45.9806938171,0,POINT (-123.9172749740037 45.98069514310411)
